10008
TrA0001W	7294	16806	16806	1	4	0
TrA0002C	17179	19773	16806	2	4	4
TrA0003W	20662	21726	19773	1	1	8
TrA0004W	22341	23249	21726	1	3	9
TrA0005W	23672	24497	23249	1	3	12
TrA0006W	25498	26481	24497	1	2	15
TrA0007W	27932	28858	26481	1	1	17
TrA0008W	30437	31468	28858	1	1	18
TrA0009W	32806	33573	31468	1	1	19
TrA0010C	33923	35718	33573	2	4	20
TrA0011C	36765	38442	35718	2	2	24
TrA0012W	39196	40731	38442	1	2	26
TrA0013C	40862	42911	40731	2	4	28
TrA0014C	43902	44903	42911	2	1	32
TrA0015W	46315	47229	44903	1	1	33
TrA0016C	47367	48539	47229	2	1	34
TrA0017W	49559	51179	48539	1	5	35
TrA0018C	51610	52878	51179	2	1	40
TrA0019C	53911	55281	52878	2	3	41
TrA0020C	57140	58116	55281	2	2	44
TrA0021W	59651	60694	58116	1	1	46
TrA0022W	61601	63519	60694	1	4	47
TrA0023W	64589	65317	63519	1	1	51
TrA0024C	65500	67885	65317	2	4	52
TrA0025C	70080	71696	67885	2	3	56
TrA0027W	74251	76802	71696	1	8	59
TrA0028C	76951	83616	76802	2	4	67
TrA0030W	91925	93349	83616	1	4	71
TrA0031W	94414	96658	93349	1	8	75
TrA0032W	99571	100640	96658	1	4	83
TrA0033W	101221	102204	100640	1	2	87
TrA0034W	104384	105954	102204	1	2	89
TrA0035W	106505	106778	105954	1	2	91
TrA0036C	107351	108679	106778	2	1	93
TrA0037W	113727	115209	108679	1	2	94
TrA0038C	116005	118214	115209	2	4	96
TrA0039W	119157	119941	118214	1	2	100
TrA0040W	120399	121290	119941	1	2	102
TrA0041C	121414	122097	121290	2	3	104
TrA0042C	122798	125048	122097	2	4	107
TrA0043W	126453	129131	125048	1	1	111
TrA0044C	129334	131003	129131	2	3	112
TrA0045C	133184	135724	131003	2	1	115
TrA0046W	136407	138298	135724	1	5	116
TrA0047C	139080	140741	138298	2	1	121
TrA0049W	142838	145149	140741	1	2	122
TrA0050C	145336	147230	145149	2	4	124
TrA0051C	148354	149839	147230	2	3	128
TrA0052W	150854	155107	149839	1	9	131
TrA0053C	155772	156186	155107	2	2	140
TrA0054C	158230	158940	156186	2	1	142
TrA0055W	162020	164274	158940	1	2	143
TrA0056C	165191	165634	164274	2	1	145
TrA0057C	166158	168980	165634	2	6	146
TrA0059W	173772	175804	168980	1	3	152
TrA0060C	176462	177798	175804	2	3	155
TrA0061C	178652	179473	177798	2	1	158
TrA0062W	179982	182946	179473	1	8	159
TrA0063C	185174	186557	182946	2	4	167
TrA0065W	189611	189805	186557	1	1	171
TrA0066W	191313	193790	189805	1	3	172
TrA0067W	197547	199872	193790	1	4	175
TrA0068W	200814	202771	199872	1	3	179
TrA0069C	203617	206052	202771	2	5	182
TrA0070W	207765	208556	206052	1	2	187
TrA0071W	210662	210925	208556	1	2	189
TrA0072C	211247	213280	210925	2	5	191
TrA0073C	214578	217182	213280	2	9	196
TrA0074C	219822	221042	217182	2	1	205
TrA0075W	221478	221687	221042	1	1	206
TrA0076W	222918	225075	221687	1	3	207
TrA0078W	225568	226191	225075	1	2	210
TrA0079C	226513	227337	226191	2	1	212
TrA0080W	227922	228538	227337	1	2	213
TrA0081C	229346	231564	228538	2	7	215
TrA0083W	236359	237766	231564	1	4	222
TrA0084W	239081	240888	237766	1	2	226
TrA0085W	241009	241629	240888	1	1	228
TrA0086W	241765	242562	241629	1	1	229
TrA0087C	244115	244657	242562	2	3	230
TrA0088C	247109	247464	244657	2	2	233
TrA0089C	248628	248792	247464	2	1	235
TrA0090W	251080	252392	248792	1	2	236
TrA0091C	253267	254701	252392	2	2	238
TrA0092W	255028	256147	254701	1	3	240
TrA0093C	256635	257517	256147	2	3	243
TrA0094C	258055	259480	257517	2	2	246
TrA0096C	261339	263553	259480	2	5	248
TrA0097W	264503	268618	263553	1	6	253
TrA0098C	268754	271765	268618	2	5	259
TrA0099W	272111	272917	271765	1	3	264
TrA0100W	273546	275370	272917	1	2	267
TrA0101C	275419	276668	275370	2	2	269
TrA0102C	277118	278196	276668	2	2	271
TrA0103C	278529	280250	278196	2	3	273
TrA0104W	280514	281263	280250	1	5	276
TrA0105C	281558	285249	281263	2	7	281
TrA0106C	286563	287156	285249	2	2	288
TrA0107W	288127	289167	287156	1	1	290
TrA0108C	289742	290403	289167	2	2	291
TrA0110C	291568	292645	290403	2	3	293
TrA0111C	293436	294648	292645	2	2	296
TrA0112W	296663	297400	294648	1	2	298
TrA0113W	299574	301265	297400	1	1	300
TrA0114C	301763	302603	301265	2	2	301
TrA0115W	303599	306923	302603	1	3	303
TrA0116W	309896	310390	306923	1	1	306
TrA0117W	312706	313803	310390	1	1	307
TrA0118C	315244	316257	313803	2	3	308
TrA0119C	318362	319351	316257	2	4	311
TrA0120C	320064	320990	319351	2	2	315
TrA0121C	322158	323484	320990	2	2	317
TrA0123C	325648	329002	323484	2	4	319
TrA0124C	329729	331405	329002	2	2	323
TrA0125C	332891	335305	331405	2	4	325
TrA0126C	337426	338315	335305	2	2	329
TrA0127W	340613	341086	338315	1	2	331
TrA0128C	341383	342999	341086	2	1	333
TrA0129C	343497	345510	342999	2	5	334
TrA0130C	345905	346957	345510	2	1	339
TrA0131C	347644	348939	346957	2	1	340
TrA0132W	353505	354992	348939	1	3	341
TrA0133C	356020	356919	354992	2	4	344
TrA0134W	357788	359569	356919	1	5	348
TrA0135W	359749	360298	359569	1	3	353
TrA0136W	360966	364845	360298	1	4	356
TrA0137C	365454	366704	364845	2	1	360
TrA0138C	371766	372298	366704	2	2	361
TrA0139W	373755	385571	372298	1	4	363
TrA0140W	386905	389374	385571	1	5	367
TrA0141C	389543	390091	389374	2	1	372
TrA0142W	392036	393896	390091	1	4	373
TrA0143C	394534	395037	393896	2	2	377
TrA0144W	395371	399006	395037	1	1	379
TrA0145C	399347	400409	399006	2	2	380
TrA0146W	400801	401586	400409	1	1	382
TrA0147C	401924	403623	401586	2	2	383
TrA0148W	405126	410498	403623	1	3	385
TrA0148-2W	411145	411561	410498	1	2	388
TrA0149C	411898	413343	411561	2	2	390
TrA0150W	413734	414084	413343	1	1	392
TrA0151W	415022	416432	414084	1	2	393
TrA0152C	416727	417498	416432	2	2	395
TrA0153W	418073	419988	417498	1	2	397
TrA0154W	420675	422761	419988	1	2	399
TrA0155W	423211	424281	422761	1	1	401
TrA0156C	424908	426451	424281	2	5	402
TrA0157W	428769	430603	426451	1	4	407
TrA0158W	431506	432510	430603	1	1	411
TrA0159C	432747	433471	432510	2	2	412
TrA0160C	434199	435038	433471	2	1	414
TrA0161W	437198	439012	435038	1	2	415
TrA0162C	439670	441814	439012	2	1	417
TrA0163-2C	443796	444455	441814	2	2	418
TrA0163C	444630	446205	444455	2	7	420
TrA0164W	446698	449102	446205	1	3	427
TrA0165W	449694	451114	449102	1	2	430
TrA0166C	451463	453247	451114	2	1	432
TrA0167C	454060	455841	453247	2	1	433
TrA0168W	458025	459687	455841	1	2	434
TrA0169C	460176	468064	459687	2	9	436
TrA0170W	468675	470096	468064	1	1	445
TrA0172W	477606	478040	470096	1	3	446
TrA0173C	481423	483585	478040	2	6	449
TrA0174W	484157	485892	483585	1	3	455
TrA0175W	487028	487822	485892	1	1	458
TrA0176C	488657	489518	487822	2	2	459
TrA0177W	490300	491438	489518	1	2	461
TrA0178C	491915	493286	491438	2	3	463
TrA0179W	493796	494302	493286	1	2	466
TrA0180W	494864	496581	494302	1	3	468
TrA0181C	497470	499442	496581	2	5	471
TrA0182C	508409	509756	499442	2	3	476
TrA0183W	510142	511710	509756	1	2	479
TrA0184W	512075	513071	511710	1	2	481
TrA0185W	516785	522284	513071	1	4	483
TrA0186W	523339	524374	522284	1	2	487
TrA0187W	525368	526295	524374	1	2	489
TrA0188C	527999	531904	526295	2	1	491
