17967	100
7589	7654	0	3	0	1
13210	13242	0	0	0	1
15448	15504	0	1	0	1
17282	17393	0	0	0	2
18764	18817	0	0	0	2
19160	19224	0	0	0	2
22504	22571	0	0	1	1
22885	22942	0	0	0	1
23698	23765	0	1	0	1
24032	24135	0	1	0	1
26007	26069	0	0	0	1
34394	34452	0	0	0	2
34587	34644	0	0	0	2
35295	35371	0	0	0	2
38141	38195	0	0	1	2
39359	39412	0	0	1	1
41586	41654	0	0	2	2
41785	41853	0	1	1	2
42145	42202	0	0	0	2
49615	49694	0	0	0	1
50058	50127	0	0	1	1
50207	50268	0	0	0	1
50441	50505	0	0	0	1
54511	54583	0	0	0	2
54914	54981	0	0	0	2
57920	58002	0	0	0	2
61637	61688	0	0	2	1
62088	62150	0	0	0	1
62878	62929	0	0	1	1
65942	65997	0	0	0	2
66468	66514	0	0	0	2
67758	67820	0	0	0	2
70804	70864	0	0	0	2
71502	71560	0	0	1	2
74359	74499	0	0	0	1
74886	74944	0	0	0	1
75226	75289	0	0	1	1
75493	75541	0	0	1	1
75799	75849	0	0	0	1
75960	76030	0	0	2	1
76158	76216	2	0	0	1
79417	79486	0	0	0	2
79743	79829	0	1	0	2
79929	79996	0	4	0	2
92181	92240	0	0	1	1
92726	92790	0	2	0	1
93099	93168	0	0	0	1
94691	94753	0	0	0	1
94994	95064	0	0	1	1
95160	95228	0	1	0	1
95486	95547	0	1	0	1
95643	95708	0	0	1	1
96019	96070	0	2	0	1
96326	96390	0	0	0	1
99723	99779	0	0	1	1
100053	100122	0	0	0	1
100264	100324	0	0	0	1
101254	101319	0	0	0	1
104499	104557	0	0	0	1
106680	106761	0	0	0	1
115086	115149	0	0	0	1
116037	116258	0	5	1	2
116736	116873	0	0	0	2
117571	117629	0	0	0	2
119629	119825	0	0	0	1
120638	120701	0	2	0	1
121692	121756	0	0	0	2
121840	121918	0	0	0	2
124581	124654	0	0	0	2
124715	124776	0	0	0	2
124809	125000	0	0	0	2
129814	129875	0	0	0	2
129999	130061	0	3	0	2
136951	137009	0	0	0	1
137108	137165	0	0	0	1
137278	137337	0	1	0	1
137524	137585	0	1	0	1
143423	143481	0	0	0	1
146552	146625	0	1	0	2
146738	146793	0	0	0	2
147080	147134	0	0	0	2
149131	149224	0	1	1	2
149304	149372	0	0	0	2
150925	151007	0	0	1	1
151459	151573	0	1	0	1
152128	152201	0	0	1	1
152534	152605	5	0	3	1
152793	152843	0	0	0	1
153083	153134	0	0	1	1
153384	153443	0	0	0	1
154621	154701	0	0	0	1
156005	156083	0	0	0	2
162044	162336	0	0	1	1
167085	167134	0	0	0	2
167621	167673	0	0	0	2
167977	168027	0	0	0	2
168245	168309	0	0	0	2
168674	168754	0	0	0	2
173844	173933	0	0	0	1
174948	175015	0	0	0	1
176608	176673	0	0	0	2
177490	177551	0	0	0	2
180000	180305	0	3	0	1
180401	180950	0	0	1	1
181715	181765	0	1	0	1
181864	181921	0	0	1	1
182176	182235	0	0	0	1
182603	182657	0	1	0	1
182703	182895	0	0	0	1
185438	185504	0	1	0	2
185930	185991	0	1	0	2
186048	186315	0	1	0	2
191610	191762	0	0	0	1
192477	192533	0	0	0	1
197581	197715	0	0	0	1
197758	197816	5	1	0	1
198551	198615	0	1	0	1
200899	200955	0	0	0	1
201592	201659	0	0	0	1
204197	204293	0	0	0	2
204666	204756	0	0	2	2
205080	205136	0	0	1	2
205815	205905	0	0	1	2
207840	207899	0	0	0	1
210748	210804	0	0	0	1
211723	211811	0	0	0	2
211934	211999	1	0	1	2
212095	212159	0	0	0	2
212887	212960	0	1	0	2
214793	214853	0	0	0	2
214931	215020	0	0	0	2
215194	215371	0	1	2	2
215489	215552	3	0	0	2
215838	215911	0	1	2	2
216012	216078	0	1	0	2
216499	216559	0	0	0	2
216961	217008	0	0	0	2
223971	224036	0	3	0	1
224347	224413	0	1	0	1
225589	225654	0	1	0	1
228249	228367	0	0	0	1
