27975
7294	7591	1	0	0
7658	13209	1	0	0
13243	15448	1	0	0
15506	16806	1	0	0
17179	17281	2	0	1
17394	18763	2	0	1
18818	19159	2	0	1
19225	19773	2	0	1
20662	21726	1	0	2
22341	22503	1	0	3
22572	22884	1	0	3
22943	23249	1	0	3
23672	23698	1	0	4
23767	24032	1	0	4
24137	24497	1	0	4
25498	26006	1	0	5
26070	26481	1	0	5
27932	28858	1	0	6
30437	31468	1	0	7
32806	33573	1	0	8
33923	34393	2	0	9
34453	34586	2	0	9
34645	35294	2	0	9
35372	35718	2	0	9
36765	38140	2	0	10
38196	38442	2	0	10
39196	39358	1	0	11
39413	40731	1	0	11
40862	41585	2	0	12
41655	41785	2	0	12
41855	42144	2	0	12
42203	42911	2	0	12
43902	44903	2	0	13
46315	47229	1	0	14
47367	48539	2	0	15
49559	49614	1	0	16
49695	50057	1	0	16
50128	50206	1	0	16
50269	50440	1	0	16
50506	51179	1	0	16
51610	52878	2	0	17
53911	54510	2	0	18
54584	54913	2	0	18
54982	55281	2	0	18
57140	57919	2	0	19
58003	58116	2	0	19
59651	60694	1	0	20
61601	61636	1	0	21
61689	62087	1	0	21
62151	62877	1	0	21
62930	63519	1	0	21
64589	65317	1	0	22
65500	65941	2	0	23
65998	66467	2	0	23
66515	67757	2	0	23
67821	67885	2	0	23
70080	70803	2	0	24
70865	71501	2	0	24
71561	71696	2	0	24
74251	74358	1	0	25
74500	74885	1	0	25
74945	75225	1	0	25
75290	75492	1	0	25
75542	75798	1	0	25
75850	75959	1	0	25
76031	76157	1	0	25
76217	76802	1	0	25
76951	79416	2	0	26
79487	79743	2	0	26
79831	79932	2	0	26
80001	83616	2	0	26
91925	92180	1	0	27
92241	92727	1	0	27
92793	93098	1	0	27
93169	93349	1	0	27
94414	94690	1	0	28
94754	94993	1	0	28
95065	95160	1	0	28
95230	95486	1	0	28
95549	95642	1	0	28
95709	96020	1	0	28
96073	96325	1	0	28
96391	96658	1	0	28
99571	99722	1	0	29
99780	100052	1	0	29
100123	100263	1	0	29
100325	100640	1	0	29
101221	101253	1	0	30
101320	102204	1	0	30
104384	104498	1	0	31
104558	105954	1	0	31
106505	106679	1	0	32
106762	106778	1	0	32
107351	108679	2	0	33
113727	115085	1	0	34
115150	115209	1	0	34
116005	116041	2	0	35
116264	116735	2	0	35
116874	117570	2	0	35
117630	118214	2	0	35
119157	119628	1	0	36
119826	119941	1	0	36
120399	120639	1	0	37
120704	121290	1	0	37
121414	121691	2	0	38
121757	121839	2	0	38
121919	122097	2	0	38
122798	124580	2	0	39
124655	124714	2	0	39
124777	124808	2	0	39
125001	125048	2	0	39
126453	129131	1	0	40
129334	129813	2	0	41
129876	130001	2	0	41
130065	131003	2	0	41
133184	135724	2	0	42
136407	136950	1	0	43
137010	137107	1	0	43
137166	137278	1	0	43
137339	137524	1	0	43
137587	138298	1	0	43
139080	140741	2	0	44
142838	143422	1	0	45
143482	145149	1	0	45
145336	146552	2	0	46
146627	146737	2	0	46
146794	147079	2	0	46
147135	147230	2	0	46
148354	149131	2	0	47
149226	149303	2	0	47
149373	149839	2	0	47
150854	150924	1	0	48
151008	151459	1	0	48
151575	152127	1	0	48
152202	152533	1	0	48
152606	152792	1	0	48
