27975
0	297	0
364	5915	298
5949	8154	5850
8212	9512	8056
0	102	0
215	1584	103
1639	1980	1473
2046	2594	1815
0	1064	0
0	162	0
231	543	163
602	908	476
0	26	0
95	360	27
465	825	293
0	508	0
572	983	509
0	926	0
0	1031	0
0	767	0
0	470	0
530	663	471
722	1371	605
1449	1795	1255
0	1375	0
1431	1677	1376
0	162	0
217	1535	163
0	723	0
793	923	724
993	1282	855
1341	2049	1145
0	1001	0
0	914	0
0	1172	0
0	55	0
136	498	56
569	647	419
710	881	498
947	1620	670
0	1268	0
0	599	0
673	1002	600
1071	1370	930
0	779	0
863	976	780
0	1043	0
0	35	0
88	486	36
550	1276	435
1329	1918	1162
0	728	0
0	441	0
498	967	442
1015	2257	912
2321	2385	2155
0	723	0
785	1421	724
1481	1616	1361
0	107	0
249	634	108
694	974	494
1039	1241	775
1291	1547	978
1599	1708	1235
1780	1906	1345
1966	2551	1472
0	2465	0
2536	2792	2466
2880	2981	2723
3050	6665	2825
0	255	0
316	802	256
868	1173	743
1244	1424	1049
0	276	0
340	579	277
651	746	517
816	1072	613
1135	1228	870
1295	1606	964
1659	1911	1276
1977	2244	1529
0	151	0
209	481	152
552	692	425
754	1069	566
0	32	0
99	983	33
0	114	0
174	1570	115
0	174	0
257	273	175
0	1328	0
0	1358	0
1423	1482	1359
0	36	0
259	730	37
869	1565	509
1625	2209	1206
0	471	0
669	784	472
0	240	0
305	891	241
0	277	0
343	425	278
505	683	361
0	1782	0
1857	1916	1783
1979	2010	1843
2203	2250	1875
0	2678	0
0	479	0
542	667	480
731	1669	606
0	2540	0
0	543	0
603	700	544
759	871	642
932	1117	755
1180	1891	941
0	1661	0
0	584	0
644	2311	585
0	1216	0
1291	1401	1217
1458	1743	1328
1799	1894	1614
0	777	0
872	949	778
1019	1485	856
0	70	0
154	605	71
721	1273	523
1348	1679	1076
1752	1938	1408
1990	2228	1595
2281	2529	1834
2590	3766	2083
3848	4253	3260
0	232	0
312	414	233
0	710	0
0	23	0
317	2254	24
0	443	0
0	926	0
977	1462	927
1516	1818	1413
1870	2086	1716
2152	2515	1933
2597	2822	2297
0	71	0
162	1175	72
1244	2032	1086
0	145	0
212	1027	146
1090	1336	962
0	821	0
0	20	0
327	418	21
969	1733	113
1785	1881	878
1940	2193	975
2254	2621	1229
2677	2720	1597
2914	2964	1641
0	264	0
332	756	265
819	874	690
1143	1383	746
0	194	0
0	296	0
450	1163	297
1221	2477	1011
0	33	0
169	210	34
270	1004	76
1070	2325	811
0	84	0
142	777	85
846	1957	721
0	579	0
677	1048	580
1140	1462	952
1520	2197	1275
2289	2435	1953
0	74	0
135	791	75
0	85	0
143	263	86
0	475	0
565	686	476
753	847	598
913	1640	693
1715	2033	1421
0	214	0
276	352	215
443	616	292
795	910	466
975	1260	582
1335	1434	868
1502	1920	968
1982	2382	1387
2431	2604	1788
0	1220	0
0	209	0
0	1055	0
1122	1429	1056
1497	2157	1364
0	21	0
88	623	22
0	824	0
0	326	0
446	616	327
0	331	0
387	1136	332
1237	1482	1082
1566	1679	1328
1778	1898	1442
2016	2101	1563
2188	2218	1649
0	65	0
241	364	66
499	648	190
752	1407	340
0	215	0
410	1807	216
0	620	0
0	797	0
0	70	0
192	294	71
390	542	174
0	80	0
188	355	81
0	164	0
0	1107	0
1173	1312	1108
0	814	0
897	1434	815
0	65	0
151	268	66
344	1119	184
0	130	0
191	677	131
856	882	618
0	236	0
292	1425	237
0	937	0
1023	1157	938
1224	1361	1073
1423	1618	1211
1693	2214	1407
0	968	0
1155	2187	969
2244	2477	2002
2852	3007	2236
3070	3680	2392
3786	4115	3003
0	82	0
181	199	83
230	1946	102
2017	2857	1819
2912	3011	2660
0	173	0
363	408	174
544	806	220
